model,loss,round,lora_r,lora_alpha,lr,epochs,medical_knowledge_1,medical_knowledge_2,medical_knowledge_3,guideline_1,guideline_2,guideline_3,clinical_1,clinical_2,coherence_1,coherence_2,suggest_1,suggest_2,total_score,notes
base,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
exp1_conservative,2.0705,R1,8,8,2e-5,3,,,,,,,,,,,,
exp2_balanced,1.8759,R1,16,16,5e-5,3,,,,,,,,,,,,
exp3_aggressive,1.5248,R1,64,64,1e-4,3,,,,,,,,,,,,
exp4_large_stable,1.7324,R1,128,128,5e-5,3,,,,,,,,,,,,
r2_1epoch_wd001,2.0326,R2,16,16,5e-5,1,,,,,,,,,,,,
r2_5epoch_wd001,1.8013,R2,16,16,5e-5,5,,,,,,,,,,,,
r2_warmup10pct,1.8910,R2,16,16,5e-5,3,,,,,,,,,,,,
r2_wd01,1.8759,R2,16,16,5e-5,3,,,,,,,,,,,,
r3_bs2_ga16,1.8759,R3,16,16,5e-5,3,,,,,,,,,,,,
r3_bs16_ga2,1.8759,R3,16,16,5e-5,3,,,,,,,,,,,,
r3_linear_sched,1.8817,R3,16,16,5e-5,3,,,,,,,,,,,,
r3_constant_sched,1.9157,R3,16,16,3e-5,3,,,,,,,,,,,,
r4_lr1e5,2.0690,R4,16,16,1e-5,3,,,,,,,,,,,,
r4_lr3e5,1.9323,R4,16,16,3e-5,3,,,,,,,,,,,,
r4_lr7e5,1.8373,R4,16,16,7e-5,3,,,,,,,,,,,,
r4_lr2e4,1.7559,R4,16,16,2e-4,3,,,,,,,,,,,,
r5_r16_a8,1.9321,R5,16,8,5e-5,3,,,,,,,,,,,,
r5_r16_a32,1.8109,R5,16,32,5e-5,3,,,,,,,,,,,,
r5_r32_a16,1.8378,R5,32,16,5e-5,3,,,,,,,,,,,,
r5_r32_a64,1.6360,R5,32,64,5e-5,3,,,,,,,,,,,,
r6_r8_5ep_conservative,1.9952,R6,8,8,2e-5,5,,,,,,,,,,,,
r6_r16_5ep_balanced,1.8013,R6,16,16,5e-5,5,,,,,,,,,,,,
r6_r64_5ep_aggressive,1.5695,R6,64,64,7e-5,5,,,,,,,,,,,,
r6_r16_5ep_emb_ratio,1.8013,R6,16,16,5e-5,5,,,,,,,,,,,,
